FORCE,TOT_DEF,DIRECT_DEF,EQV_STR,EQV_STRESS,STR_ENERGY,CONDITION
50,7.01E-08,5.25E-10,8.57E-06,1.30E+06,1.17E-08,SAFE
100,1.40E-07,1.05E-09,1.71E-05,2.60E+06,4.68E-08,SAFE
200,2.80E-07,2.10E-09,3.43E-05,5.20E+06,1.87E-07,SAFE
300,4.20E-07,3.15E-09,5.14E-05,7.80E+06,4.22E-07,SAFE
400,5.60E-07,4.20E-09,6.86E-05,1.04E+07,7.50E-07,SAFE
500,7.01E-07,5.25E-09,8.57E-05,1.30E+07,1.17E-06,SAFE
600,8.41E-07,6.29E-09,1.03E-04,1.56E+07,1.69E-06,WARNING
700,9.81E-07,7.34E-09,1.20E-04,1.82E+07,2.30E-06,WARNING
800,1.12E-06,8.39E-09,1.37E-04,2.08E+07,3.00E-06,WARNING
